index                                  shard time type           stage source_host source_node target_host target_node  repository snapshot files files_recovered files_percent files_total bytes bytes_recovered bytes_percent bytes_total translog_ops translog_ops_recovered translog_ops_percent
my-index-01                            0     16ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        4           0b    0b              100.0%        4.7kb       0            0                      100.0%
.ds-metricbeat-8.8.0-2023.11.17-000087 0     13ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        1           0b    0b              100.0%        247b        0            0                      100.0%
test_ngram_v1                          0     16ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        4           0b    0b              100.0%        4.4kb       0            0                      100.0%
.ds-metricbeat-8.8.0-2023.09.21        0     44ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        7           0b    0b              100.0%        1.2mb       0            0                      100.0%
test_service_realtime_metrics_v1       0     25ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        13          0b    0b              100.0%        18.5kb      0            0                      100.0%
recommendation_test                    0     16ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        4           0b    0b              100.0%        7kb         0            0                      100.0%
.monitoring-es-7-2023.12.15            0     21ms empty_store    done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               0.0%          0           0b    0b              0.0%          0b          0            0                      100.0%
test_performance_metrics_v1            0     16ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        4           0b    0b              100.0%        7.6kb       0            0                      100.0%
.monitoring-es-7-2023.12.12            0     86ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        25          0b    0b              100.0%        23mb        0            0                      100.0%
.monitoring-es-7-2023.12.11            0     82ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        67          0b    0b              100.0%        42.9mb      0            0                      100.0%
performance_metrics                    0     53ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        34          0b    0b              100.0%        82.3kb      0            0                      100.0%
.monitoring-es-7-2023.12.10            0     86ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        67          0b    0b              100.0%        21.5mb      0            0                      100.0%
search_indexing-db1                    0     10ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        1           0b    0b              100.0%        248b        0            0                      100.0%
elastic-index                          0     47ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        31          0b    0b              100.0%        4.5mb       0            0                      100.0%
search_indexing-db                     0     16ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        4           0b    0b              100.0%        4.7kb       0            0                      100.0%
test_sample_v1                         0     15ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        1           0b    0b              100.0%        247b        0            0                      100.0%
.monitoring-kibana-7-2023.12.06        0     27ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        13          0b    0b              100.0%        1.4mb       0            0                      100.0%
.monitoring-kibana-7-2023.12.07        0     35ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        28          0b    0b              100.0%        1.1mb       0            0                      100.0%
.monitoring-kibana-7-2023.12.08        0     30ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        16          0b    0b              100.0%        673.1kb     0            0                      100.0%
test_omnisearch_v1                     0     18ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        4           0b    0b              100.0%        6.6kb       0            0                      100.0%
test_omnisearch_v2                     0     28ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        10          0b    0b              100.0%        21.8mb      0            0                      100.0%
.monitoring-es-7-2023.12.09            0     31ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        10          0b    0b              100.0%        1.1mb       0            0                      100.0%
test_omnisearch_v3                     0     18ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        10          0b    0b              100.0%        15.8kb      0            0                      100.0%
.monitoring-es-7-2023.12.08            0     30ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        10          0b    0b              100.0%        5.3mb       0            0                      100.0%
.monitoring-es-7-2023.12.07            0     68ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        37          0b    0b              100.0%        11.2mb      0            0                      100.0%
.monitoring-es-7-2023.12.06            0     43ms existing_store done  n/a         n/a         172.17.0.2  b3abf1a35c5e n/a        n/a      0     0               100.0%        31          0b    0b              100.0%        14.2mb      0            0                      100.0%
