index                            shard prirep ip         segment generation docs.count docs.deleted     size size.memory committed searchable version compound
.ds-metricbeat-8.8.0-2023.09.21  0     p      172.17.0.2 _1g             52        235            0  471.5kb           0 true      true       9.6.0   true
.ds-metricbeat-8.8.0-2023.09.21  0     p      172.17.0.2 _1p             61        533            0  798.3kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.06      0     p      172.17.0.2 _4i            162      26141          130   10.7mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.06      0     p      172.17.0.2 _52            182       3936          130      2mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.06      0     p      172.17.0.2 _5c            192       1888           65      1mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.06      0     p      172.17.0.2 _5d            193        192          390    233kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.06      0     p      172.17.0.2 _5e            194        129           65  146.4kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.07      0     p      172.17.0.2 _2x            105      17282          171    7.2mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.07      0     p      172.17.0.2 _40            144       5640           57    3.1mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.07      0     p      172.17.0.2 _41            145        144          342  203.5kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.07      0     p      172.17.0.2 _42            146        168          399  224.7kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.07      0     p      172.17.0.2 _43            147        144          342  203.4kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.07      0     p      172.17.0.2 _44            148        129          114  154.5kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.08      0     p      172.17.0.2 _2p             97      11206          118    5.2mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.08      0     p      172.17.0.2 _2q             98         85            0     91kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.09      0     p      172.17.0.2 _h              17       1354          120  781.8kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.09      0     p      172.17.0.2 _n              23        654            0  377.3kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _6x            249      38006          124   14.4mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8j            307       9772          186    4.3mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8t            317       1708           62  957.5kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8u            318        196          434  233.8kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8v            319        196          434  233.8kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8w            320        168          372  212.7kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8x            321        196          434  233.7kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8y            322        196          434  233.7kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _8z            323        196          434  233.8kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _90            324        196          434  234.1kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.10      0     p      172.17.0.2 _91            325        230          310  212.9kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _c2            434      72194          183   28.7mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _fn            563      22475           61    8.9mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _g7            583       3625          183    1.8mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _gs            604       3683           61    1.8mb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _gt            605        203          427  236.6kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _gu            606        174          366  216.3kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _gv            607        203          427  236.5kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _gw            608        203          427  236.6kb           0 true      true       9.6.0   true
.monitoring-es-7-2023.12.11      0     p      172.17.0.2 _gx            609        174          366  216.5kb           0 true      true       9.6.0   true
